viz_title,title,links_slug,description,credits,date,external_link_1,external_link_2,external_link_3,ichDomains,fruitionOutputs
Polifonia Portal,Polifonia Portal,https://ichatlas.com/projects-archive/Polifonia_Portal,"""Polifonia is an EU-funded initiative dedicated to preserving and enriching Europe’s musical heritage by leveraging advanced digital technologies. The project addresses the challenge of fragmented and inaccessible historical music data, ensuring that diverse musical traditions and their cultural contexts remain discoverable and relevant in the digital era. The project utilizes machine learning, data mining, and natural language processing to extract, integrate, and enrich musical data from historical sources such as manuscripts, recordings, and archival documents. It has developed a publicly accessible digital portal that enables scholars, musicians, and the general public to explore and interact with Europe’s vast musical heritage through curated collections, interactive visualizations, and advanced search tools. Polifonia has produced significant outputs, including databases that map musical heritage across time and space, tools for analyzing historical music sources, and AI-driven applications for cultural data linking. The project facilitates interdisciplinary research, enhances accessibility, and promotes collaboration across institutions. ""","A project by University of Bologna (Italy),The Open University (UK),King’s College London (UK),University of Galway (Ireland),Italian Ministry of Culture (Italy),Centre National de la Recherche Scientifique (France),Conservatoire National des Arts et Metiers (France),The Netherlands Institute for Sound & Vision (The Netherlands),Royal Netherlands Academy of Arts and Sciences (The Netherlands),Digital Paths",2021-2024,https://polifonia-project.eu/,,,"[""Social practices, rituals and festive events""]","[""Digital tools"",""Digital archive""]"
Pub Museums,Pub Museums,https://ichatlas.com/projects-archive/Pub_Museums,"""Pub Museum is a campaign that seeks to celebrate and preserve the cultural heritage and community significance of Irish pubs by transforming them into virtual museums. This initiative aims to secure official museum status for historic pubs, allowing them to access financial benefits such as government grants and tax exemptions typically reserved for cultural institutions. By employing augmented reality (AR) technology, the campaign enables visitors to explore the stories and history of iconic pubs. Through QR codes, visitors can unlock AR overlays that narrate local legends and show 3D models of historical artifacts inside these pubs. This approach is aligned with efforts to gain UNESCO recognition for Irish pubs as vital communitarian cultural landmarks.""","A project by Publicis Ireland (Dublin),LePub (Milan),Heineken Ireland (Dublin),Thinkhouse,Lens That,Toners Pub (Dublin),Mother Macs Public House (Limerick),Sean’s Bar (Athlone)",2024,https://www.heineken.com/ie/en/pub-museums,,,"[""Social practices, rituals and festive events""]","[""Digital campaign"",""Museum"",""Interactive exhibition""]"
Quantum Temple Passport,Quantum Temple Passport,https://ichatlas.com/projects-archive/Quantum_Temple_Passport,"""Quantum Temple is a Web 3 platform dedicated to facilitating the preservation and sharing of cultural heritage through blockchain technology, fostering equitable exchanges between indigeneous communities and visitors. The platform aims to empower communities by providing them with the tools and resources to safeguard their cultural legacies, help protect and perpetuate knowledge, traditions, and artforms from diverse cultures worldwide. The QT Passport is a digital tool that promotes sustainable tourism by enabling travelers to track the social, cultural, and environmental impacts of their journeys. It rewards users for supporting local communities and fosters transparency in community projects by showcasing funding needs. Users can contribute via monthly donations, one-time payments, or cryptocurrency.""","A project by Quantum Temple,Indonesia Government / Ministry of Tourism and Creative Economy,Wonderful Indonesia,Sui Blockchain",2021,https://quantumtemple.xyz/passport,,,"[""Social practices, rituals and festive events"",""Knowledge and practices concerning nature and the universe""]","[""Participatory initiative"",""Digital assets""]"
Quantum Temple Path to Alango,Quantum Temple Path to Alango,https://ichatlas.com/projects-archive/Quantum_Temple_Path_to_Alango,"""Quantum Temple is a Web 3 platform dedicated to facilitating the preservation and sharing of cultural heritage through blockchain technology, fostering equitable exchanges between indigeneous communities and visitors. The platform aims to empower communities by providing them with the tools and resources to safeguard their cultural legacies, help protect and perpetuate knowledge, traditions, and artforms from diverse cultures worldwide. The Paths to Alangö NFT collection, developed in collaboration with anthropologists and cultural practitioners, uses blockchain to transform Bali’s cultural heritage into digital assets, providing a sustainable income source for local communities. This initiative empowers culture keepers to share and monetize their heritage.""","A project by Quantum Temple,Indonesia Government / Ministry of Tourism and Creative Economy,Wonderful Indonesia,Sui Blockchain",2022,https://quantumtemple.xyz/drop/paths-to-alango,,,"[""Social practices, rituals and festive events"",""Performing arts""]","[""Participatory initiative"",""Digital assets""]"
ReCollection,ReCollection,https://ichatlas.com/projects-archive/ReCollection,"""ReCollection is an AI-driven art experience that transforms fragmented personal memories into vivid, evolving digital narratives, bridging the space between remembrance and imagination. As a form of digital valorization of intangible cultural heritage, it explores new ways to preserve collective memory and cultural reproduction. The AI system was developed by fine-tuning a pre-trained, transformer-based AI model to learn the documentaries of Alzheimer patients’ visual memories and their descriptions. The system imagines new memories by interpreting real-time narratives from participants in the installation. Participants whisper incomplete memories into a microphone, and an AI system—powered by GPT-4—fills in the missing details, generating a narrative. This text is then processed through Stable Diffusion to create synthetic images, forming an immersive and interactive visual experience. The project has been presented in Los Angeles Convention Center (United States), Signal Immersive Art Gallery (Canada), and Media and Immersive eXperience Center (United States).""","A project by Weidi Zhang (founder),Rodger Luo (founder),Sam Green, Semiotic Labs (support),Herberger Institute Research Building Investment (funding),Media and Immersive eXperience Center, Arizona State University (US)",2023,https://www.zhangweidi.com/recollection,,,"[""Oral traditions and expressions""]","[""AI-generated content"",""Interactive installation"",""Dedicated physical events""]"
Renai Dance Animation,Renai Dance Animation,https://ichatlas.com/projects-archive/Renai_Dance_Animation,"""Renai Dance is a 3D animated film that explores the integration of Chinese Lion Dancing and Western Modern Ballet, aiming to offer a new perspective on exploring folkways, familial bonds, and cultural continuity. The film uses advanced 3D animation techniques and computer-generated imagery (CGI) to blend traditional cultural themes with contemporary artistic expression, offering a multidisciplinary approach to cultural preservation through digital media. The narrative explores the cultural transmission of knowledge, focusing on the intergenerational relationship between a young girl and her grandfather, a practitioner of lion dancing. The project blends cross-cultural themes, animation technology, and tailored soundtracks merging traditional oriental music with modern symphonic elements and thematic melodies.""","A project by Zhike Yang,Wenjie Wu,Han Chen Chang,Zak McNeil (collaborator),Denis Nechipurenko (collaborator)",2019-2021,https://www.wenjie.art/thesis,,,"[""Performing arts"",""Social practices, rituals and festive events""]","[""Digital campaign"",""ICH-inspired artefact""]"
Réveil des Archives sonores,Réveil des Archives sonores,https://ichatlas.com/projects-archive/Réveil_des_Archives_sonores,"""The project ""Réveil des Archives sonores"" is built on the principles of reinterpretation, creation, and transformation, with the goal of highlighting the significant ICH collection of the AIMP (International Archives of Popular Music) housed at the Musée d'Ethnographie de Genève (MEG). This collection represents 18,000 hours of digitized musical traditions from around the world. The project seeks to discover and revive MEG’s sound archive by transforming these recordings into contemporary musical compositions, thereby exploring the creative potential of intangible cultural heritage (ICH). The project identifies key musical parameters such as rhythmic patterns, scales, timbres, and vocal techniques within the sound archives. These parameters guide the selection of relevant recordings from diverse cultural traditions. Composers are then invited to use these archival sounds as the foundation for creating original musical pieces. To date, more than 20 compositions have been produced, and they are made accessible through the Musical Lounge at MEG. In 2022, MEG expanded its engagement by opening a dedicated Sound Gallery, featuring an octophonic sound system and immersive space offering a multi-sensory experience and showcase the sound creations.""","A project by Department of Ethnomusicology of the MEG (Musée d’ethnographie de Genève)Musicians and sound artists (DJ Rythme de vie, Dj Androo, Anita Kirppis, Sam, Ramin and Reda, Easy Evil, Mabrouk Von Bisque, Mirlaqi, Barrio Colette & Cheptel Records, El Dragón Criollo, Mambo Chick, DJ Mitch, Cobeia, Petit Bizet, Mo Laudi, Marion Innocenzi, Luca Mazzaferri, 1000 Balles, Amiral Disko)",2014,https://soundcloud.com/user-516340806,,,"[""Performing arts""]","[""Digital archive"",""Dedicated physical events"",""ICH-inspired artefact""]"
RISE UP,RISE UP - Revitalising Languages and Safeguarding Cultural Diversity,https://ichatlas.com/projects-archive/RISE_UP_-_Revitalising_Languages_and_Safeguarding_Cultural_Diversity,"""RISE UP is a project designed to support endangered European language communities, focusing on languages like Aranese, Aromanian, Burgenland Croatian, Cornish, and Seto. The project aims to foster empowerment and self-confidence within these communities by connecting stakeholders, including citizens, learners, and civil society. It develops tools for language preservation, such as a Gamification and Digital Toolkit to support language learning and community engagement. Additionally, a digital platform facilitates the sharing of resources like events, media, competitions, and services related to these languages, helping revitalize them in the digital age. Through these efforts, RISE UP aims to engage young people and strengthens cultural ties, ensuring the continuity of endangered languages.""","A project by MINDS & SPARKS (M&S),University of Tartu (Estonia),University of Vienna (Austria),ESPRONCEDA – Institute of Art & Culture,Youth of European Nationalities (YEN) (Germany),Nurogames,SOAS, the School of Oriental and African Studies, University of London (UK),The University of Roehampton (UK)",2023-2026,https://www.riseupproject.eu/,,,"[""Oral traditions and expressions""]","[""Network platform""]"
Swapmuseun,Swapmuseun,https://ichatlas.com/projects-archive/Swapmuseun,"""Swapmuseum connects young volunteers (swappers) with local museums, promoting youth involvement in cultural life. It allows them to collaborate in revitalizing and enriching smaller cultural institutions, which are often overlooked by traditional tourism. This initiative encourages youth participation and empowers them to contribute to their local heritage through hands-on involvement, while simultaneously enhancing the visibility and relevance of lesser-known museums. The initiative involved adolescents in museums’ daily practices, inviting them to undertake non-specialised tasks, including using digital tools like social media and digital storytelling to enrich cultural narratives around museums and communities heritage. For their hours spent volunteering, the swappers could then exchange their banked hours for benefits, such as free entrance tickets to cultural institutions and events, or vouchers and discounts for books or music. The project has expanded, involving over 500 students, 60+ museums, 12 companies, and more than 170 collaborative activities, creating a scalable model for other European institutions.""","A project by 34° Fuso Association,Officine Cantelmo,Fablab Lecce,Imago Social Cooperative",2016,https://www.swapmuseum.com/,,,"[""Oral traditions and expressions""]","[""Digital tools"",""Participatory initiative""]"
Synthetic Memories,Synthetic Memories,https://ichatlas.com/projects-archive/Synthetic_Memories,"""Synthetic Memories is a research initiative by Domestic Data Streamers that leverages artificial intelligence to recreate undocumented personal memories, aiming to preserve individual identities and enhance quality of life.  The project employs AI-driven image generation tools, such as DALL-E and Stable Diffusion, to produce visual representations of memories based on personal narratives. Collaborations with communities—including refugees, incarcerated individuals, and those with dementia—have demonstrated AI’s potential in augmenting human connection and preserving cultural heritage.  On May 2024, in collaboration with Deputy Mayor Laia Bonet, they inaugurated the “Citizens’ Office of Synthetic Memories” at Disseny Hub Barcelona, a research center, archive, and public service for visual memory reconstruction, inviting citizens to participate in reclaiming and reconstructing their undocumented visual memories. ""","A project by Domestic Data Streamers (founders),ØJALÀ. Social Creativity for education (partner),Open Cultural Center (partner),La VostraLlar (partner),Ared. Dona Formació Inclusió (partner),Bit Habitat (funding),Google Arts & Culture (funding),Institut Ramon Llull (funding),",2022,https://www.syntheticmemories.net/,,,"[""Oral traditions and expressions""]","[""Participatory initiative"",""AI-generated content""]"
Tacit Dialogues,Tacit Dialogues,https://ichatlas.com/projects-archive/Tacit_Dialogues,"""​Tacit Dialogues is an Available multidisciplinary research project that explores the performative qualities of glassblowing by integrating traditional craftsmanship with digital technologies. The project addresses the challenge of capturing and translating the implicit, embodied knowledge inherent in the glassblowing process into digital data, aiming to preserve and reinterpret this intangible cultural heritage.​ Utilizing interactive and sensor-based tracking systems, Tacit Dialogues records the nuanced movements, sounds, and interactions between the glassblower, material, and tools during the creation process. This data is then transformed into visual, sonic, and spatial media by a selection of artists, offering new perspectives on the craft. The project has produced several installations that showcase the implicit choreographies of glassblowing, making the invisible aspects of the craft accessible to a broader audience.""","A project by Philipp Weber,Babette Wiezorek,Verena Bachl,Elaine Bonavia,WINT Design Lab,Berlin Glassworks Luke Holden (Berlin Glassworks)Viviane Stroede (Berlin Glassworks)",2019-2022,https://web.archive.org/web/20220626171013/http://www.tacitdialogues.com/,,,"[""Traditional craftsmanship""]","[""ICH-inspired artefact""]"
Tempio del Brunello,Tempio del Brunello,https://ichatlas.com/projects-archive/Tempio_del_Brunello,"""Il Tempio del Brunello is an immersive experience located in the former Sant’Agostino convent in Montalcino, designed to educate, engage, and immerse visitors in the rich history, heritage, and culture of Brunello wine and its production region. Through a combination of multimedia installations, virtual reality, and interactive content, the project offers a dynamic exploration of the wine’s cultural significance and the region’s viticultural traditions and innovations.  The journey begins with a virtual exploration of the Montalcino landscape, followed by an atmospheric visit to the subterranean spaces enhanced with evocative sound effects. The experience continues in the ancient stables, where archival footage, interviews, and historical documents highlight the cultural significance of Brunello wine. In an interactive area, visitors can create color compositions inspired by the region’s landscape, further engaging with the local terroir. The experience culminates in the Enoteca, where a mobile app and touch monitors provide in-depth information on the wines on display. Visitors can also participate in a guided tasting session conducted by a digital sommelier.""","A project by Opera Laboratori Fiorentini (Italy),ETT Group (Italy),Brunello Consortium (Italy),Archdiocese of Siena (Italy),Municipality of Montalcino (Italy),Former Convent of Sant'Agostino in Montalcino (Italy)",2021,https://ettsolutions.com/progetti/tempio-brunello/,,,"[""Knowledge and practices concerning nature and the universe"",""Traditional craftsmanship""]","[""Museum"",""Interactive exhibition""]"
The Great Palermo,The Great Palermo,https://ichatlas.com/projects-archive/The_Great_Palermo,"""The Great Palermo is an interactive video game developed to celebrate and explore the cultural heritage of Palermo, Sicily, through a narrative-driven gameplay experience. The game employs the Ren'Py visual novel engine and is designed to educate players about the city's street food traditions, folklore, and historical significance. Players navigate the journey of Gaetano, a young boy tasked with purchasing eggs at the market, but each step of his journey leads to encounters with Palermo’s diverse street foods, unlocking local myths, legends, and historical narratives tied to specific locations within the city. The game utilizes cumulative storytelling, where each player decision influences the unfolding narrative. The central mechanism involves Gaetano’s transformation into iconic figures from Palermo’s cultural history with every food-related encounter, illustrating the city's rich and multifaceted identity shaped by centuries of cultural exchange. To ensure an authentic and accurate portrayal of the city’s traditions, the project was developed in collaboration with local artists and musicians .""","A project by We Are Muesli,CLAC,Re Federico Cowork for I ART - Artist In Residence,My Appy,Almendra Music",2015,https://wearemuesli.itch.io/palermo,,,"[""Social practices, rituals and festive events""]","[""Videogame""]"
The Living Museum,The Living Museum,https://ichatlas.com/projects-archive/The_Living_Museum,"""The Living Museum is an experimental digital interface that explores the application of artificial intelligence in cultural heritage engagement. Using content from the British Museum’s digital collection (from which it is not affiliated), the project investigates how natural language processing and large language models (LLMs) can facilitate personalized and interactive experiences for both museum visitors and remote users. The system enables users to curate exhibits through natural language queries and engage in AI-generated dialogues with artifacts. This approach integrates historical metadata with broader contextual knowledge, providing a dynamic alternative to traditional museum interpretation methods. The study examines the potential of AI to enhance cultural heritage accessibility and educational initiatives.""",A project by Jonathan Talmi,2024,https://www.livingmuseum.app/explore,,,"[""Social practices, rituals and festive events"",""Traditional craftsmanship""]","[""Virtual museum"",""Conversational agent"",""AI-generated content""]"
TRACTION,TRACTION Opera co-creation for a social transformation,https://ichatlas.com/projects-archive/TRACTION_Opera_co-creation_for_a_social_transformation,"""TRACTION: Opera Co-creation for Social Transformation is an EU-funded initiative designed to make opera more accessible by involving marginalized communities in the creative process. By engaging citizens in co-creation, the project empowers individuals from diverse backgrounds, including those in inner-city Barcelona, youth prisons in Leiria, and rural areas in Ireland, to contribute to opera’s evolution. The project incorporates technologies like virtual reality, interactive formats, participatory digital workflow production system to explore alternative audio-visual formats for the creation and fruition of opera. They also provide toolset and resources to foster democratisation of opera, using technology as a means to reach new audiences and to connect artists with audiences. The project delivered: 11 opera performances, 5 hours of new contemporary music composed, 3 new co-created operas performed in an opera house, a prison, concert halls, schools, public squares — and VR headsets, 2 new digital tools used during the process and performances with over 20,000 user interactions (Co-Creation Space & Co-creation Stage), 766,000 people watched opera co-creation and performances on TV, and 1,300 non-professional artists and community members participating in singing, poster design, construction, music, VR animation, storytelling, photography printing, costume making, etc., from teenagers to retired people.""","A project by LICEU, Opera House (Spain),INO, the Irish National Opera (Ireland),SAMP, Leiria (Portugal),Virtual Reality Ireland (Ireland),François Matarasso,Vicomtech (Spain),Centrum Wiskunde & Informatica, CWI (The Netherlands),Dublin City University, DCU (Ireland),Universitat Autònoma de Barcelona, UAB (Spain)",2022,https://www.traction-project.eu/,,,"[""Performing arts""]","[""Participatory initiative"",""Dedicated virtual events"",""Digital tools"",""Dedicated physical events"",""Live performance""]"
Urban Media Archive,"Urban Media Archive, [unarchiving] program","https://ichatlas.com/projects-archive/Urban_Media_Archive,_[unarchiving]_program","""The Urban Media Archive (UMA) is a project dedicated to preserving and promoting urban history through often overlooked archival materials, by collecting, storing, studying, and providing access to a diverse range of urban-related documents, often neglected by state institutions. By digitally archiving, describing, and creating virtual collections, UMA seeks to foster the democratization of historical knowledge and make urban heritage more accessible to the general public. This initiative is not focused solely on digitizing archival files but aims to rethink the role of archives in society. It encourages collaboration between archivists, historians, and the public to engage with historical materials in alternative ways. For example, [unarchiving] is a public history program based on the materials of the Urban Media Archive aimed at highlighting contemporary discussions around archival heritage, by offering public viewing and listening events and presenting archival content in formats beyond academic settings. These events encourage reflection and dialogue on the cultural significance of archives, using popular formats to engage with urban history.""",A project by Center for Uban History,2022,https://uma.lvivcenter.org/en,,,"[""Social practices, rituals and festive events""]","[""Digital archive"",""Dedicated physical events""]"
Virtual Dance Museum,Virtual Dance Museum,https://ichatlas.com/projects-archive/Virtual_Dance_Museum,"""The ""Virtual Dance Museum"" project focuses on digitally preserving and showcasing folk dance creations using emerging technologies. By employing advanced motion capture systems, 3D scanning, and full HD cameras, expert dancers performing various folk dances are recorded to generate high-quality motion data. This data is then stored in a dedicated database, providing a valuable resource for scholars and dance experts to study and analyze traditional dance forms. For example, the motion capture data is uploaded to AMASS (Archive of Motion Capture As Surface Shapes), a large database that standardizes motion capture datasets for animation, visualization, and deep learning. In addition to this, the project allows for virtual navigation and interaction with the dance data through 3D character visualization, offering a deeper understanding of traditional dances while also supporting e-learning and gamification applications.""","A project by University of Cyprus,Parthenon Dance Academy, Paris, France,Cultural Workshop Ayion Omologiton,Cultural and Dancing Association ""DIONYSOS"",CYENS Centre of Excellence (formerly known as RISE),Cyprus Research Promotion Foundation (support)",2016-2025,https://dancemuseum.cs.ucy.ac.cy/index.html,https://dancedb.eu/main#,,"[""Social practices, rituals and festive events"",""Performing arts""]","[""Virtual museum"",""Digital assets"",""Digital archive""]"
Weaving Time,Weaving Time,https://ichatlas.com/projects-archive/Weaving_Time,"""Weaving Time is an interactive installation that complements the ""The Incas, Treasures of Peru"" exhibition in Montreal, Canada. This experience invites visitors to engage with traditional Inca weaving practices in a creative and playful manner. Located at the end of the exhibition, Weaving Time allows visitors to ""weave"" patterns into a dynamic tapestry that wraps around the space. The installation features a table with 10 pattern tiles, a shuttle, and a tray containing 80 different pattern tiles, enabling visitors to arrange and create lines of patterns. These patterns are then projected onto the walls, transforming the room into an immersive, evolving tapestry. The process mirrors the operation of a traditional weaving loom, with each new pattern shifting the fabric’s design. The result is a collective creation, where every visitor’s input contributes to an ever-changing tapestry that appears to move and flow like real fabric. The project draws on original Inca woven patterns for research, ensuring authenticity in the representation of cultural heritage.""","A project by Gagarin (Iceland),Pointe-a-Calliere, Montreal Archeology and History Complex (Canada),Expozone (Canada),Entro (Global),Light Factor (Bulgaria)",2019-2020,https://gagarin.is/work/incas-treasures-of-peru,,,"[""Traditional craftsmanship""]","[""ICH-inspired artefact"",""Interactive exhibition""]"
Whispering table,Whispering table,https://ichatlas.com/projects-archive/Whispering_table,"""​""Whispering Table"" is an interactive sound installation to encourage visitors to engage in the communal act of dining, symbolizing universal communication and shared human experiences. The installation centers around a large, round table set with empty ceramic tableware, highlighting the universality of dining as a shared human experience. When visitors lift these seemingly ordinary bowls to their ears, the objects begin to ""whisper,"" sharing narratives about the cultural and religious traditions of four distinct cultures. ​The installation fosters an intercultural dialogue by allowing the tableware to ""converse"" with each other, depending on their placement on the table. ""Whispering Table"" has been showcased in various international venues, including the Tabakfabrik at Prix Ars Electronica in Linz, TENT London, the WRO Media Art Biennale in Wroclaw, and the Kilkenny Arts Festival in Ireland. The installation was also recognized with the D&AD Graphite Pencil for Environmental Design in 2010.""","A project by TheGreenEyl,Jewish Museum Berlin",2009,https://thegreeneyl.com/whispering-table,,,"[""Social practices, rituals and festive events""]","[""Interactive exhibition""]"
